date,tmax,tmin,tavg,snwd,target,rolling_3_tmax,rolling_3_tmin,rolling_3_tavg,rolling_14_tmax,rolling_14_tmin,rolling_14_tavg
2020-01-01,30,20,25,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,31,21,26,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,29,19,24,0,32.0,30.0,20.0,25.0,0.0,0.0,0.0
2020-01-04,32,22,27,0,33.0,30.666666666666668,20.666666666666668,25.666666666666668,0.0,0.0,0.0
2020-01-05,33,23,28,0,34.0,31.333333333333332,21.333333333333332,26.333333333333332,0.0,0.0,0.0
2020-01-06,34,24,29,0,35.0,33.0,23.0,28.0,0.0,0.0,0.0
2020-01-07,35,25,30,0,34.0,34.0,24.0,29.0,0.0,0.0,0.0
2020-01-08,34,24,29,0,33.0,34.333333333333336,24.333333333333332,29.333333333333332,0.0,0.0,0.0
2020-01-09,33,23,28,0,32.0,34.0,24.0,29.0,0.0,0.0,0.0
2020-01-10,32,22,27,0,0.0,33.0,23.0,28.0,0.0,0.0,0.0
